,SPY_high,SPY_low,KC Upper,KC Lower,BBANDS Upper,BBands Lower,weekly_range
997,452.732,451.01,450.3437367378328,432.7149367378327,452.4922307161394,425.16176928386074,0.0
998,453.829,451.31,450.64017133422965,434.71577133422966,454.4303391505414,424.26466084945866,0.0
999,454.67,451.05,451.81865025477924,435.5262502547792,455.99903923711946,423.6169607628805,11.400000000000034
1000,455.9,452.39,452.5238454686098,437.08344546860974,458.08521935369356,422.82178064630637,0.0
1001,458.49,455.56,453.5103554239803,438.22195542398026,460.186647542202,422.94435245779795,0.0
1002,457.16,453.86,454.03729300264877,439.2328930026488,461.6273548662053,423.45264513379465,0.0
1003,458.4,455.45,454.5461412881108,440.9497412881108,463.233993220937,424.7640067790629,0.0
1004,459.56,455.56,455.68957545114785,441.9971754511478,465.0565083024594,425.4424916975406,7.170000000000016
1005,460.7021,458.2,456.40034064627656,443.4191006462766,466.0526615760248,427.58633842397535,0.0
1006,462.23,460.08,457.27827201329785,444.8250320132978,467.48020536519874,429.03879463480126,0.0
1007,465.15,460.83,459.0256194406028,445.6811794406028,469.2323614424311,430.26863855756886,0.0
1008,467.0,464.99,460.3641623510215,447.1153223510215,471.34311016606955,430.98288983393024,0.0
1009,470.65,466.92,461.79675831759084,448.49991831759087,473.2774592891601,432.1155407108399,12.449999999999989
1010,470.23,468.2031,462.8126775254393,450.1090775254394,474.3698260554912,434.4471739445088,0.0
1011,469.57,465.88,464.00259395158804,450.99899395158803,474.2871294847516,437.9058705152484,0.0
1012,467.38,462.04,464.9933754800081,451.1737754800082,473.0811520199357,441.95584798006433,0.0
1013,465.29,463.75,464.97693972000735,452.2733397200074,472.6595066571846,444.5044933428155,0.0
1014,467.86,464.11,465.81825974667345,453.07865974667345,472.8893102689613,446.41468973103855,8.189999999999998
1015,468.81,466.23,466.59398643746647,453.8232264374665,472.95039195888154,448.3776080411183,0.0
1016,470.485,467.07,467.7029286815173,454.4421686815173,473.50283731037274,449.68916268962727,0.0
1017,469.19,467.48,467.87201928327755,455.6192592832776,473.80261498692664,450.96238501307334,0.0
1018,470.01,466.34,468.9104345896321,456.10167458963207,474.26952560318574,452.10947439681416,0.0
1019,470.94,468.5,469.25842939061954,456.9696693906195,474.25632998921753,453.6996700107826,4.7099999999999795
1020,470.56,466.27,479.03328835674813,448.1954883567481,476.92610351199147,452.01089648800865,0.0
1021,465.74,460.25,478.4130608942007,448.7672608942007,476.6516779029936,451.8783220970065,0.0
1022,470.86,460.74,478.22866461856256,450.2868646185626,476.84361578100413,451.8183842189958,0.0
1023,472.87,464.8,478.29944894060424,450.63364894060425,476.6733406875002,451.8196593124999,0.0
1024,464.74,458.06,477.26368237483234,450.7938823748324,476.045981698771,451.46101830122916,14.810000000000002
1025,465.74,456.5973,479.0541098841834,459.68102988418343,482.61030716277224,456.29869283722775,0.0
1026,469.85,462.05,480.10053179997544,458.7074517999755,482.69920015015776,456.5277998498423,0.0
1027,473.2,468.94,480.57843734283495,458.537357342835,482.7558685291216,457.23713147087824,0.0
1028,472.88,463.44,481.3215899768507,456.83650997685066,482.6786862088445,456.70731379115557,0.0
1029,465.09,459.9,481.5064423600077,455.82136236000775,482.70569447096875,456.5073055290312,16.60269999999997
1030,450.28,439.81,489.220363974419,413.759403974419,486.62491383589384,425.0710861641061,0.0
1031,453.63,446.9384,488.8157426435219,414.4421426435219,483.6257343885029,425.5942656114971,0.0
1032,458.12,453.05,488.7641252489008,415.5834852489008,480.5890738126015,426.61092618739855,0.0
1033,452.97,445.71,487.7132866537674,415.57264665376744,478.7358623697951,426.2861376302051,0.0
1034,452.78,443.83,487.20100411531337,415.52436411531335,476.78365445101366,426.3143455489863,18.310000000000002
1035,450.99,445.85,483.91427229480735,418.02963229480736,474.9470643908381,426.26793560916184,0.0
